slug	name	snomed	icd10	system	kind
brain-abscess	Brain abscess	441806004	G06.0	neurological	disorder
brain-aneurysm	Aneurysm (brain), see Brain aneurysm	432119003	I72.9	cardiovascular	disorder
brain-tumours	Brain tumours	126952004	D43.2	neoplasm	disorder
breast-cancer-in-men	Breast cancer in men	254837009	C50.9	neoplasm	disorder
breast-cancer-in-women	Breast cancer in women	254837009	C50.9	neoplasm	disorder
broken-ankle	Broken ankle	16114001	S82.80	musculoskeletal	disorder
broken-hip	Broken hip	5913000	S72.00	musculoskeletal	disorder
broken-leg	Broken leg	46866001	T12.X0	musculoskeletal	disorder
broken-nose	Broken nose	263171005	S02.20	traumatic-or-injury	disorder
broken-toe	Broken toe	21351003	S92.50	musculoskeletal	disorder
bronchiectasis	Bronchiectasis	12295008		respiratory	disorder
bronchiolitis	Bronchiolitis	4120002	J21.9	respiratory	disorder
bronchitis	Bronchitis	32398004	J20.9	respiratory	disorder
brucellosis	Brucellosis	75702008	A23.9	infectious	disorder
brugada-syndrome	Brugada syndrome	418818005	I49.8	cardiovascular	disorder
bullous-pemphigoid	Bullous pemphigoid	77090002	L12.0	skin	disorder
bunions	Bunions	415692008	M20.1	musculoskeletal	disorder
bursitis	Bursitis	84017003	M71.99	musculoskeletal	disorder
c-difficile	Clostridioides difficile (C. diff) infection	186431008	A04.7	infectious	disorder
cancer	Cancer	363346000	C80.9	neoplasm	disorder
carbon-monoxide-poisoning	Carbon monoxide poisoning	17383000		unclassified	disorder
cardiomyopathy	Cardiomyopathy	85898001	I42.9	cardiovascular	disorder
cardiovascular-disease	Cardiovascular disease	49601007	I51.6	unclassified	disorder
carpal-tunnel-syndrome	Carpal tunnel syndrome	57406009	G56.0	neurological	disorder
cataracts	Cataracts in adults	95722004	H26.9	eye	disorder
cellulitis	Cellulitis	128045006	L03.9	unclassified	disorder
cerebral-palsy	Cerebral palsy	128188000	G80.9	neurological	disorder
cervical-cancer	Cervical cancer	363354003	C53.9	neoplasm	disorder
cervical-spondylosis	Cervical spondylosis	387800004	M47.82	musculoskeletal	disorder
charles-bonnet-syndrome	Charles Bonnet syndrome	193756007	R44.1	mental-health	disorder
chiari-malformation	Chiari malformation	253184003	Q07.0	neurological	disorder
chickenpox	Chickenpox	38907003	B01.9	infectious	disorder
chilblains	Chilblains	37869000	T69.1	traumatic-or-injury	disorder
childhood-cataracts	Cataracts (children), see Childhood cataracts	95722004	H26.9	eye	disorder
chlamydia	Chlamydia	105629000	A74.9	infectious	disorder
cholera	Cholera	63650001	A00.9	infectious	disorder
cholesteatoma	Cholesteatoma	363668000		ear	disorder
chronic-myeloid-leukaemia	Chronic myeloid leukaemia	92818009	C92.1	neoplasm	disorder
chronic-obstructive-pulmonary-disease-copd	Chronic obstructive pulmonary disease (COPD)	13645005	J44.9	respiratory	disorder
chronic-pancreatitis	Chronic pancreatitis	235494005	K86.1	digestive	disorder
chronic-traumatic-encephalopathy	Chronic traumatic encephalopathy	1187004001	F07.2	mental-health	disorder
cleft-lip-and-palate	Cleft lip and palate	80281008	Q36.9	unclassified	disorder
club-foot	Clubfoot	397932003	Q66.0	unclassified	disorder
cluster-headaches	Cluster headaches	193031009	G44.0	neurological	disorder
coeliac-disease	Coeliac disease	396331005	K90.0	digestive	disorder
cold-sores	Cold sores	1475003	B00.1	infectious	disorder
colic	Colic	9991008	R10.4	unclassified	presentation
colour-vision-deficiency	Colour vision deficiency (colour blindness)	367469000	H53.5	eye	disorder
common-cold	Common cold	82272006		infectious	disorder
compartment-syndrome	Compartment syndrome	111245009	T79.6	musculoskeletal	disorder
complex-regional-pain-syndrome	Complex regional pain syndrome	128200000		neurological	disorder
congenital-heart-disease	Congenital heart disease	13213009	Q24.9	cardiovascular	disorder
conjunctivitis	Conjunctivitis	9826008	H10.9	eye	disorder
constipation	Constipation	14760008	K59.0	unclassified	presentation
contact-dermatitis	Contact dermatitis	40275004	L25.9	skin	disorder
coronary-heart-disease	Coronary heart disease	53741008	I25.1	cardiovascular	disorder
corticobasal-degeneration	Corticobasal degeneration	18842008	G23.8	neurological	disorder
