condition	symptom_id
congenital-heart-disease	455
congenital-heart-disease	456
congenital-heart-disease	457
conjunctivitis	272
conjunctivitis	458
conjunctivitis	459
conjunctivitis	460
constipation	95
constipation	121
constipation	416
constipation	461
constipation	462
contact-dermatitis	463
coronary-heart-disease	7
coronary-heart-disease	49
coronary-heart-disease	64
coronary-heart-disease	166
coronary-heart-disease	464
corticobasal-degeneration	12
corticobasal-degeneration	84
corticobasal-degeneration	183
corticobasal-degeneration	465
corticobasal-degeneration	466
corticobasal-degeneration	467
corticobasal-degeneration	468
costochondritis	7
costochondritis	339
costochondritis	469
cradle-cap	145
cradle-cap	470
cradle-cap	471
cradle-cap	472
cradle-cap	473
cradle-cap	474
cradle-cap	475
cradle-cap	476
cradle-cap	477
cradle-cap	478
cradle-cap	479
cradle-cap	480
cradle-cap	481
cradle-cap	482
cradle-cap	483
craniosynostosis	172
craniosynostosis	177
craniosynostosis	484
craniosynostosis	485
craniosynostosis	486
craniosynostosis	487
craniosynostosis	488
creutzfeldt-jakob-disease-cjd	84
creutzfeldt-jakob-disease-cjd	361
creutzfeldt-jakob-disease-cjd	403
creutzfeldt-jakob-disease-cjd	489
creutzfeldt-jakob-disease-cjd	490
creutzfeldt-jakob-disease-cjd	491
creutzfeldt-jakob-disease-cjd	492
crohns-disease	40
crohns-disease	295
crohns-disease	343
crohns-disease	386
crohns-disease	493
crohns-disease	494
croup	64
croup	327
croup	347
croup	495
croup	496
croup	497
croup	498
croup	499
cushings-syndrome	29
cushings-syndrome	306
cushings-syndrome	500
cushings-syndrome	501
cushings-syndrome	502
cushings-syndrome	503
cushings-syndrome	504
cushings-syndrome	505
cyclical-vomiting-syndrome	40
cyclical-vomiting-syndrome	49
cyclical-vomiting-syndrome	343
cyclical-vomiting-syndrome	443
cyclical-vomiting-syndrome	506
cystic-fibrosis	23
cystic-fibrosis	64
cystic-fibrosis	169
cystic-fibrosis	326
cystic-fibrosis	401
cystic-fibrosis	418
cystic-fibrosis	494
cystic-fibrosis	507
cystic-fibrosis	508
dandruff	509
dandruff	510
deep-vein-thrombosis-dvt	143
deep-vein-thrombosis-dvt	145
deep-vein-thrombosis-dvt	146
deep-vein-thrombosis-dvt	160
deep-vein-thrombosis-dvt	511
dehydration	18
dehydration	38
dehydration	48
dehydration	242
dehydration	253
dehydration	270
dehydration	512
dehydration	513
dehydration	514
dehydration	515
dehydration	516
dehydration	517
dementia	12
dementia	72
dementia	77
dementia	95
dementia	110
dementia	114
dementia	115
dementia	294
dementia	325
dementia	403
dementia	404
dementia	504
dementia	518
dementia	519
dementia	520
dementia	521
dementia	522
dementia	523
dementia	524
dementia	525
dementia	526
dementia	527
dementia	528
dementia	529
dementia	530
dementia	531
dementia	532
dementia	533
dementia	534
dementia	535
dengue	37
dengue	49
dengue	238
dengue	301
dengue	366
dengue	440
dengue	536
dental-abscess	12
dental-abscess	37
dental-abscess	366
dental-abscess	537
dental-abscess	538
dental-abscess	539
dental-abscess	540
dental-abscess	541
detached-retina-retinal-detachment	300
detached-retina-retinal-detachment	542
developmental-coordination-disorder-dyspraxia	548
developmental-coordination-disorder-dyspraxia	549
developmental-coordination-disorder-dyspraxia-in-adults	164
developmental-coordination-disorder-dyspraxia-in-adults	543
developmental-coordination-disorder-dyspraxia-in-adults	544
developmental-coordination-disorder-dyspraxia-in-adults	545
developmental-coordination-disorder-dyspraxia-in-adults	546
developmental-coordination-disorder-dyspraxia-in-adults	547
developmental-dysplasia-of-the-hip	314
developmental-dysplasia-of-the-hip	550
developmental-dysplasia-of-the-hip	551
developmental-dysplasia-of-the-hip	552
developmental-dysplasia-of-the-hip	553
developmental-dysplasia-of-the-hip	554
developmental-dysplasia-of-the-hip	555
developmental-dysplasia-of-the-hip	556
developmental-dysplasia-of-the-hip	557
diabetes-insipidus	40
diabetes-insipidus	54
diabetes-insipidus	418
diabetes-insipidus	558
diabetes-insipidus	559
diabetes-insipidus	560
diabetes-insipidus	561
diabetes-insipidus	562
diabetic-ketoacidosis	48
diabetic-ketoacidosis	49
diabetic-ketoacidosis	51
diabetic-ketoacidosis	71
diabetic-ketoacidosis	78
diabetic-ketoacidosis	563
diabetic-ketoacidosis	564
diabetic-retinopathy	78
diabetic-retinopathy	360
diabetic-retinopathy	361
diabetic-retinopathy	565
digeorge-syndrome	566
digeorge-syndrome	567
digeorge-syndrome	568
digeorge-syndrome	569
digeorge-syndrome	570
digeorge-syndrome	571
diphtheria	283
diphtheria	332
diphtheria	366
diphtheria	572
diphtheria	573
diphtheria	574
diphtheria	575
diverticular-disease-and-diverticulitis	37
diverticular-disease-and-diverticulitis	122
diverticular-disease-and-diverticulitis	295
diverticular-disease-and-diverticulitis	576
diverticular-disease-and-diverticulitis	577
diverticular-disease-and-diverticulitis	578
dysarthria	84
dysarthria	579
dysarthria	580
dysarthria	581
dysarthria	582
dysarthria	583
dysarthria	584
dystonia	181
dystonia	467
dystonia	585
dystonia	586
dystonia	587
ear-infections	16
ear-infections	37
ear-infections	40
ear-infections	329
ear-infections	389
ear-infections	390
ear-infections	441
ear-infections	490
ear-infections	588
ear-infections	589
ear-infections	590
ebola	39
ebola	41
ebola	46
ebola	122
ebola	248
ebola	332
ebola	388
ebola	440
ebola	591
ebola	592
ebola	593
ebola	594
ectopic-pregnancy	46
ectopic-pregnancy	160
ectopic-pregnancy	244
ectopic-pregnancy	595
